Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
BPI	BPIFD1	ENSG00000101425	"Bactericidal permeability increasing protein"	P17213	20	38304150-38337505	"Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Immunity, Innate immunity"	"Antibiotic, Antimicrobial"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	89	"bone marrow: 1486.2"	"Group enriched"	"Detected in some"	54	"Early spermatids: 180.0;Late spermatids: 236.2;Proximal tubular cells: 87.3"	"Group enriched"	"Detected in some"	9	"fibroblast: 3.8;pericyte: 1.5"	"Low cancer specificity"	"Detected in single"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	17	"classical monocyte: 14.5;neutrophil: 7.1"	"Group enriched"	"Detected in many"	17	"granulocytes: 7.1;monocytes: 14.5"	"Cancer enriched"	"Detected in some"	4	"Leukemia: 20.4"	"Liver - Erythroid cells, Lung - Neutrophil_1, Spleen - Hematopoietic stem cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			HPA061284	Enhanced				"Secreted to blood"	Immunity	NA	NA	7290000	54000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 11: Late spermatids - Unknown function"	3			"HPA061284: AB_2684465"		"potential prognostic favorable (7.63e-4)"	"unprognostic (2.66e-2)"																				"unprognostic (6.75e-2)"								
RPGRIP1	"CORD13, LCA6, RGI1, RPGRIP"	ENSG00000092200	"RPGR interacting protein 1"	Q96KN7	14	21280083-21351301	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Sensory transduction, Vision"		"Ciliopathy, Cone-rod dystrophy, Disease variant, Glaucoma, Leber congenital amaurosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	82	"retina: 179.2;testis: 57.6"	"Cell type enhanced"	"Detected in some"		"Cone photoreceptor cells: 127.4;Early spermatids: 179.3;Late spermatids: 122.7;Rod photoreceptor cells: 128.4;Spermatocytes: 43.4"	"Group enriched"	"Detected in many"	4	"central nervous system macrophage: 11.9;hippocampal CA4: 3.3"	"Cancer enriched"	"Detected in single"	4	"Testicular Germ Cell Tumor (TCGA): 3.3"	"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 8.8"	"Group enriched"	"Detected in many"	28	"dendritic cells: 3.2;granulocytes: 8.8;monocytes: 3.6"	"Low cancer specificity"	"Detected in single"			"Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA042955, HPA060190"	Supported	Supported	Approved	"Vesicles,Microtubules,Cytokinetic bridge,Primary cilium,Primary cilium tip,Cytosol"			Yes	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 39: Retina & Testis - Cilium"	"Cluster 6: Non-specific - Immune response"	"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"	27	"Vesicles, Microtubules, Primary cilium"	"Cytokinetic bridge, Primary cilium tip, Cytosol"	"HPA042955: AB_2678239, HPA060190: AB_2684218"			"unprognostic (1.04e-1)"			"unprognostic (1.31e-1)"											"unprognostic (1.40e-2)"									"unprognostic (1.20e-2)"			"unprognostic (1.96e-1)"		
BTNL3	"BTN9.1, BTNLR"	ENSG00000168903	"Butyrophilin like 3"	Q6UXE8	5	180988846-181006727	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	65	"intestine: 112.0"	"Group enriched"	"Detected in some"	5	"Distal enterocytes: 97.9;Intestinal goblet cells: 53.3;Paneth cells: 45.3;Proximal enterocytes: 167.9"	"Cell type enriched"	"Detected in single"	17	"endothelial cell: 3.7"	"Cancer enhanced"	"Detected in some"		"Colon Adenocarcinoma (TCGA): 7.6;Rectum Adenocarcinoma (TCGA): 7.2"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	207	"neutrophil: 22.4"	"Lineage enriched"	"Detected in single"	207	"granulocytes: 22.4"	"Group enriched"	"Detected in some"	4	"colorectal cancer: 2.6;Gastric cancer: 1.0"	"Colon - Colon enterocytes"																NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 25: Small intestine - Absorption"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"									"unprognostic (1.15e-1)"	"unprognostic (6.74e-2)"									"unprognostic (1.81e-1)"							"unprognostic (4.27e-2)"	"unprognostic (2.10e-1)"		"potential prognostic favorable (2.86e-4)"	"unprognostic (4.96e-2)"		"unprognostic (1.11e-2)"			
DEFA3	"DEF3, HNP-3"	ENSG00000239839	"Defensin alpha 3"	P59666	8	7015869-7018297	"Cancer-related genes, Predicted secreted proteins"	"Antiviral defense"	"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	63	"bone marrow: 36396.6"	"Cell type enriched"	"Detected in some"	5	"Kupffer cells: 52.9"					"Group enriched"	"Detected in some"	5	"Glioblastoma Multiforme (TCGA): 3.4;Kidney Renal Clear Cell Carcinoma (TCGA): 1.1"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in many"	20	"neutrophil: 833.8"	"Lineage enriched"	"Detected in many"	20	"granulocytes: 833.8"	"Cancer enriched"	"Detected in single"	223	"Leukemia: 22.3"	"Liver - Erythroid cells, Lung - Neutrophil_1, Pituitary gland - Neutrophils, Spleen - Hematopoietic stem cells"									HPA052517	Supported				"Secreted to blood"	Defense	NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"				"HPA052517: AB_2681860"							"unprognostic (1.03e-1)"				"unprognostic (1.77e-2)"																				
DEFA4	"DEF4, HP-4"	ENSG00000164821	"Defensin alpha 4"	P12838	8	6935820-6938306	"Predicted secreted proteins"		"Antibiotic, Antimicrobial, Defensin, Fungicide"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	59	"bone marrow: 2664.7"	"Cell type enriched"	"Detected in some"	10	"Kupffer cells: 10.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in some"	13	"neutrophil: 13.2"	"Lineage enriched"	"Detected in many"	13	"granulocytes: 13.2"	"Cancer enriched"	"Detected in single"	291	"Leukemia: 29.1"	"Liver - Erythroid cells, Lung - Neutrophil_1, Pituitary gland - Neutrophils, Spleen - Hematopoietic stem cells"									HPA051266	Enhanced				"Secreted to blood"	Defense	NA	NA		31000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"				"HPA051266: AB_2681414"																															
ENSG00000289715		ENSG00000289715	"Novel protein"		1	21547404-21554002	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in single"	58	"retina: 22.2"													"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	28	"neutrophil: 2.7"	"Lineage enriched"	"Detected in single"	28	"granulocytes: 2.7"	"Not detected"	"Not detected"				"Not detected"	"Not detected"														NA	NA					"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 71: Lymphoma - Inflammatory response"																																				
FANCD2OS	"C3orf24, MGC40179"	ENSG00000163705	"FANCD2 opposite strand"	Q96PS1	3	10081317-10108255	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	58	"testis: 59.9"	"Group enriched"	"Detected in some"	74	"Early spermatids: 500.4;Late spermatids: 864.7"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 5.3"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 5.3"	"Not detected"	"Not detected"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA065487			Approved	Vesicles			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 20: Testis - Spermatogenesis"	"Cluster 15: Non-specific - Transcription"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 11: Late spermatids - Unknown function"	13	Vesicles		"HPA065487: "																										"unprognostic (9.50e-2)"					
HBD		ENSG00000223609	"Hemoglobin subunit delta"	P02042	11	5232678-5243657	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Oxygen transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	57	"bone marrow: 2754.9"	"Cell type enriched"	"Detected in some"	522	"Erythroid cells: 8393.1"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney Renal Clear Cell Carcinoma (TCGA): 1.9"	"Region enhanced"	"Detected in some"		"cerebral cortex: 5.1"	"Group enriched"	"Detected in some"	5	"eosinophil: 2.1;neutrophil: 2.3;plasmacytoid DC: 1.6"	"Group enriched"	"Detected in many"	8	"dendritic cells: 1.6;granulocytes: 2.3"	"Group enriched"	"Detected in some"	15	"Leukemia: 20.4;Myeloma: 39.7"	"Liver - Erythroid cells, Spleen - Erythrocytes"									"CAB037087, HPA043234"	Supported						NA	NA		10000000000		"Cluster 6: Bone marrow - Innate immune response"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 1: Erythroid cells - Oxygen transport"	24			"CAB037087: AB_260051, HPA043234: AB_2678378"							"unprognostic (6.05e-2)"				"unprognostic (4.54e-2)"																		"unprognostic (1.90e-1)"		
PRTN3	"ACPA, AGP7, C-ANCA, MBT, P29, PR-3"	ENSG00000196415	"Proteinase 3"	P24158	19	840999-848175	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	55	"bone marrow: 2068.5"	"Cell type enriched"	"Detected in some"	5	"Erythroid cells: 18.7"	"Cell type enhanced"	"Detected in some"		"upper-layer intratelencephalic: 2.7"	"Cancer enhanced"	"Detected in single"		"Stomach Adenocarcinoma (TCGA): 2.0"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in single"	8	"neutrophil: 2.0"	"Lineage enriched"	"Detected in single"	8	"granulocytes: 2.0"	"Cancer enriched"	"Detected in some"	225	"Leukemia: 507.6"	"Lung - Neutrophil_1, Spleen - Hematopoietic stem cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA005938, CAB017558"	Enhanced		Approved	Vesicles,Cytosol	"Secreted to blood"	Enzyme	NA	NA		660000		"Cluster 6: Bone marrow - Innate immune response"	"Cluster 33: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	41	Cytosol	Vesicles	"CAB017558: AB_2172317, HPA005938: AB_1855764"			"unprognostic (2.98e-1)"																									"unprognostic (8.17e-2)"			
SYCE3	C22orf41	ENSG00000217442	"Synaptonemal complex central element protein 3"	A1L190	22	50551112-50562919	"Predicted intracellular proteins"	"Cell cycle, Cell division, Meiosis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	50	"testis: 138.1"	"Group enriched"	"Detected in many"	4	"Early spermatids: 626.7;Spermatocytes: 469.2"	"Cell type enhanced"	"Detected in some"		"bergmann glia: 1.9;lower rhombic lip: 1.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 4.4"	"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	5	"prostate cancer: 12.9"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA047813			Approved	"Nucleoplasm,Nucleoli,Golgi apparatus"			NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	13	"Nucleoplasm, Nucleoli, Golgi apparatus"		"HPA047813: AB_2797234"	"unprognostic (1.22e-2)"	"unprognostic (2.68e-2)"		"unprognostic (4.21e-2)"			"unprognostic (1.09e-1)"	"unprognostic (1.67e-2)"	"unprognostic (4.38e-2)"	"unprognostic (3.11e-2)"	"unprognostic (1.07e-1)"	"unprognostic (3.38e-1)"	"unprognostic (2.02e-2)"	"unprognostic (1.32e-1)"		"unprognostic (9.23e-2)"	"unprognostic (3.29e-1)"	"unprognostic (1.64e-1)"	"unprognostic (5.15e-2)"	"unprognostic (8.14e-2)"	"unprognostic (1.95e-1)"	"unprognostic (3.60e-2)"		"unprognostic (3.41e-2)"			"unprognostic (2.81e-3)"	"unprognostic (2.65e-1)"	"unprognostic (2.88e-2)"	"unprognostic (1.23e-1)"	"unprognostic (3.85e-1)"
AZU1	"AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC"	ENSG00000172232	"Azurocidin 1"	P20160	19	825097-832018	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	Chemotaxis	"Antibiotic, Antimicrobial, Heparin-binding, Serine protease homolog"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	49	"bone marrow: 1577.5"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 4.5;Breast myoepithelial cells: 5.3;Ciliated cells: 8.9;Erythroid cells: 6.4;Hofbauer cells: 4.8;Kupffer cells: 3.9;Spermatogonia: 7.2"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 1.6"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	9	"neutrophil: 3.3"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 3.3"	"Cancer enriched"	"Detected in single"	40	"Leukemia: 39.1"	"Liver - Erythroid cells, Lung - Neutrophil_1, Spleen - Hematopoietic stem cells"					"Not detected"	"Not detected"			"HPA055851, HPA075964"	Enhanced		Enhanced	Vesicles	"Secreted to blood"	Defense	NA	NA	13700000	6600000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	7	Vesicles		"HPA055851: AB_2682943, HPA075964: "			"unprognostic (3.70e-2)"																									"unprognostic (4.95e-2)"			"unprognostic (1.00e-1)"
SERPINA1	"A1A, A1AT, AAT, alpha-1-antitrypsin, alpha1AT, PI, PI1"	ENSG00000197249	"Serpin family A member 1"	P01009	14	94376747-94390693	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Acute phase, Blood coagulation, Hemostasis"	"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	45	"liver: 33156.1"	"Cell type enriched"	"Detected in many"	7	"Hepatocytes: 38353.1"	"Group enriched"	"Detected in some"	8	"central nervous system macrophage: 14.8;leukocyte: 17.5"	"Cancer enriched"	"Detected in all"	10	"Liver Hepatocellular Carcinoma (TCGA): 15316.5"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"classical monocyte: 2484.3;intermediate monocyte: 3414.0;neutrophil: 2835.2;non-classical monocyte: 4540.7"	"Group enriched"	"Detected in all"	5	"granulocytes: 2835.2;monocytes: 4540.7"	"Cancer enhanced"	"Detected in many"		"Gastric cancer: 303.1;liver cancer: 783.6;lymphoma: 293.1"	"Adipose visceral - Neutrophils, Liver - Hepatocytes, Skeletal muscle - Neutrophils, Spleen - Neutrophils"	"Not detected"	"Not detected"							"HPA000927, HPA001292, CAB013211, CAB016648, CAB073396"	Enhanced		Enhanced	Vesicles	"Secreted to blood"	"Blood coagulation"	NA	NA	1920000000000	180000000000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 83: Liver - Metabolism"	"Cluster 12: Non-specific - Vasculature"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"	11	Vesicles		"CAB013211: , CAB016648: AB_1611888, CAB073396: , HPA000927: AB_1844761, HPA001292: AB_1844762"	"unprognostic (6.17e-2)"	"potential prognostic favorable (7.55e-5)"	"unprognostic (2.25e-1)"	"unprognostic (8.51e-2)"	"unprognostic (1.10e-2)"	"unprognostic (2.00e-1)"	"unprognostic (2.97e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.37e-2)"	"unprognostic (3.87e-2)"	"unprognostic (1.46e-3)"	"unprognostic (2.45e-2)"	"unprognostic (9.10e-3)"	"unprognostic (2.02e-2)"	"unprognostic (2.43e-2)"	"unprognostic (3.09e-1)"	"unprognostic (2.14e-1)"	"unprognostic (2.43e-3)"	"unprognostic (4.07e-2)"	"unprognostic (2.00e-1)"	"unprognostic (3.15e-1)"	"unprognostic (4.03e-2)"	"potential prognostic unfavorable (1.93e-4)"	"unprognostic (3.00e-1)"	"unprognostic (2.66e-1)"	"unprognostic (1.98e-3)"	"unprognostic (2.76e-2)"	"unprognostic (1.98e-1)"	"unprognostic (9.27e-3)"	"unprognostic (2.76e-2)"	"unprognostic (6.89e-2)"
CCN3	"IGFBP9, NOV"	ENSG00000136999	"Cellular communication network factor 3"	P48745	8	119416446-119424434	"Plasma proteins, Predicted secreted proteins, Transporters"		"Growth factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	44	"adrenal gland: 1072.3"	"Cell type enhanced"	"Detected in many"		"Fibroblasts: 45.1;Glandular and luminal cells: 68.4;granulocytes: 82.3;Melanocytes: 115.1;Smooth muscle cells: 72.1"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in all"	4	"Skin Cuteneous Melanoma (TCGA): 111.7"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	116	"eosinophil: 64.9;neutrophil: 30.9"	"Lineage enriched"	"Detected in single"	157	"granulocytes: 64.9"	"Cancer enhanced"	"Detected in many"		"lung cancer: 42.6;skin cancer: 67.9"	"Adipose visceral - Smooth muscle cells, Adrenal gland - Adrenal cortex cells, Kidney - Fibroblasts, Lung - Smooth muscle cells, Minor Salivary Gland - Fibroblasts, Thyroid gland - Fibroblasts"	"Group enriched"	"Detected in all"	6	"amygdala: 129.2;basal ganglia: 51.5;cerebral cortex: 99.5;hippocampal formation: 152.5;white matter: 85.1"	"Region enriched"	"Detected in all"	6	"spinal cord: 161.3"	"HPA019684, CAB034423, HPA072879"	Enhanced		Enhanced	Vesicles,Cytosol	"Secreted to blood"	"Growth factor"	NA	NA	269000000	3600000	"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 26: Adrenal gland - Steroid metabolism"	"Cluster 51: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 32: Smooth muscle cells - Muscle contraction"	16	Vesicles	Cytosol	"CAB034423: AB_2151387, HPA019684: AB_1846190, HPA072879: "	"unprognostic (5.82e-2)"	"unprognostic (8.71e-3)"		"unprognostic (9.19e-2)"	"unprognostic (3.81e-2)"	"unprognostic (1.63e-2)"	"potential prognostic unfavorable (5.59e-4)"	"unprognostic (3.05e-1)"	"unprognostic (3.96e-1)"	"unprognostic (6.21e-3)"	"unprognostic (1.70e-3)"	"unprognostic (2.06e-2)"	"unprognostic (2.76e-2)"	"unprognostic (9.26e-2)"		"unprognostic (4.00e-3)"	"unprognostic (4.71e-3)"	"unprognostic (8.05e-2)"	"unprognostic (2.10e-1)"	"unprognostic (2.00e-1)"	"unprognostic (5.79e-2)"	"unprognostic (1.36e-1)"	"unprognostic (4.10e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.31e-2)"	"unprognostic (3.66e-1)"	"unprognostic (5.78e-2)"	"unprognostic (2.57e-3)"	"unprognostic (2.27e-1)"	"unprognostic (3.83e-2)"	"unprognostic (1.85e-1)"
XKR3	"MGC57211, XTES"	ENSG00000172967	"XK related 3"	Q5GH77	22	16783412-16825411	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	43	"testis: 7.9"	"Cell type enriched"	"Detected in some"	17	"Early spermatids: 223.0"	"Cell type enhanced"	"Detected in single"		"fibroblast: 1.2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.9"	"Lineage enriched"	"Detected in single"	13	"granulocytes: 1.9"	"Group enriched"	"Detected in some"	7	"Bladder cancer: 2.0;Myeloma: 7.0"	"Testis - Early spermatids, Testis - Late spermatids"									"HPA003379, HPA035081"	Uncertain						NA	NA				"Cluster 44: Testis - Spermatogenesis"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 18: Early spermatids - Unknown function"				"HPA003379: AB_10602682, HPA035081: AB_2674451"																															
TEX54		ENSG00000283268	"Testis expressed 54"	A0A1B0GVG6	11	62832321-62832841	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	41	"testis: 74.7"	"Group enriched"	"Detected in some"	373	"Early spermatids: 491.1;Late spermatids: 214.7"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	6	"neutrophil: 139.5"	"Lineage enriched"	"Detected in all"	17	"granulocytes: 139.5"	"Low cancer specificity"	"Detected in some"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 25: Non-specific - Transcription"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 21: Early spermatids - Spermatogenesis"										"unprognostic (7.77e-2)"																		"unprognostic (3.66e-2)"		"unprognostic (1.23e-1)"					
